Status,Date,Time,Session Type,Teacher Name,School Name,School Level,District,Session Title,volunteer,Organization,volunteer Location,Topic/Theme,Session Link
simulcast,1/18/2024,,,Sara Schwartz,TA Edison Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Caitlin Nguyen,Dobbs Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Willie Spencer,Bertram Caruthers Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Brenda Ellis,TA Edison Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Scott King,Truman Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Yesenia Stewart,Dobbs Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Sarah Pearson,Welborn Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Sherry Watts,Whittier Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Michael Moore,Warford Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Wesley Morris,Hazel Grove Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Ryan Williams,Dobbs Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Chad Booker,Compass Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Justin Jones,TA Edison Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Erika Wilson,Welborn Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Kevin Carey,Welborn Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Chad Caldwell,Bertram Caruthers Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Connie Baker,Compass Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Tracie Cooper,Douglass Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Joel Goodman,Stony Point South Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Christopher Ware,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Linda Scott,Bertram Caruthers Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Joshua Dickson,Bertram Caruthers Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Brandon Watkins,Hazel Grove Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jason Tanner,Frank Rushton Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jacqueline Murray,Frank Rushton Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jessica Rodriguez,JFK Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Anna Martinez,Bertram Caruthers Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,John Kennedy,Dobbs Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Kirk Walsh,Eugene Ware Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Megan Alvarez,Frank Rushton Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jeffery Cummings,Ingels Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jeremy Osborn,Dobbs Elementary,Elementary,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Jason Malone,Hazel Grove Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Gary Hatfield,Hazel Grove Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Lisa Odom,John Fiske Elementary,Elementary,KCKPS (KS),The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Christopher Allen,Ruskin High School,High,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
simulcast,1/18/2024,,,Anthony Gallegos,Smith-Hale Middle,Middle,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Elementary),,,Not local,,
successfully completed,1/18/2024,1:00 PM,Industry chat,Debra Williams,,,,The Dream Continues: Honoring Dr. Martin Luther King Jr (Middle & High School),Crystal Randolph,Great Plains History Museum,Not local,Culturally Responsive,https://prepkc.nepris.com/app/sessions/105009
simulcast,1/18/2024,,,Anthony Gallegos,Smith-Hale Middle,Middle,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Middle & High School),,,Not local,,
simulcast,1/18/2024,,,Christopher Allen,Ruskin High School,High,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Middle & High School),,,Not local,,
teacher no-show,1/18/2024,,,Jocelyn Richardson,Ruskin High School,High,Hickman Mills,The Dream Continues: Honoring Dr. Martin Luther King Jr (Middle & High School),,,Not local,,
successfully completed,1/19/2024,10:15 AM,Teacher requested,Tina Mckinney,Grandview Middle School,Middle,Grandview,NASA and Space Exploration,Victoria Freeman,NASA,Not local,Space,https://prepkc.nepris.com/app/sessions/104889
successfully completed,1/19/2024,10:15 AM,Teacher requested,Angel Sutton,Grandview Middle School,Middle,Grandview,Careers in Computer Science,Daniel Newman,Congruent Connections,Local (KS/MO),Technology,https://prepkc.nepris.com/app/sessions/104930
successfully completed,1/19/2024,10:15 AM,Teacher requested,Luis Thompson,Grandview Middle School,Middle,Grandview,Motivating Future Engineers,Stephen Rivas,,Local (KS/MO),Engineering,https://prepkc.nepris.com/app/sessions/104931
successfully completed,1/19/2024,10:15 AM,Teacher requested,Jennifer Murray,Grandview Middle School,Middle,Grandview,Anatomy and Health and Human Services,Jennifer Vincent,,Not local,Healthcare,https://prepkc.nepris.com/app/sessions/104892
successfully completed,1/19/2024,10:15 AM,Teacher requested,Michael Garcia,Grandview Middle School,Middle,Grandview,Digital Art and Design,Michelle Martin,,Not local,Art/Design,https://prepkc.nepris.com/app/sessions/104890
successfully completed,1/19/2024,10:15 AM,Teacher requested,Lauren Mann,Grandview Middle School,Middle,Grandview,Choose your friends wisely,Ruth Wilson,,Local (KS/MO),Social/Emotional Learning,https://prepkc.nepris.com/app/sessions/104934
Local Professional No-show,1/19/2024,10:15 AM,Teacher requested,Michael Brewer,Grandview Middle School,Middle,Grandview,Business and Communications Career Pathway Exploration,Lindsey Jones,ScalesVision Photography,Local (KS/MO),Business,https://prepkc.nepris.com/app/sessions/104891
successfully completed,1/19/2024,11:00 AM,Teacher requested,Christopher Jenkins,Grandview Middle School,Middle,Grandview,Building Tomorrow: Exploring Careers in Robotics for a Better World,Curtis Berg,Verizon,Not local,Technology,https://prepkc.nepris.com/app/sessions/104932
simulcast,1/19/2024,,,Dr. Sean Serrano MD,Grandview Middle School,Middle,Grandview,Building Tomorrow: Exploring Careers in Robotics for a Better World,,,Not local,,
successfully completed,1/19/2024,11:00 AM,Teacher requested,Adam Novak,Grandview Middle School,Middle,Grandview,"Paws, Hooves, and Claws: Exploring Veterinary Medicine",Danielle Rodriguez,Vet Candy,Not local,Animal Science,https://prepkc.nepris.com/app/sessions/104940
successfully completed,1/19/2024,11:00 AM,Teacher requested,Courtney Wallace,Grandview Middle School,Middle,Grandview,Health and Human Services Career Exploration,Jaime Riddle,University Health KC,Local (KS/MO),Healthcare,https://prepkc.nepris.com/app/sessions/104933
successfully completed,1/19/2024,11:00 AM,Teacher requested,Isaac Simpson,Grandview Middle School,Middle,Grandview,Career Exploration Chemical Engineering,Joseph Sanders,Solenis,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104935
successfully completed,1/19/2024,11:00 AM,Teacher requested,Charlene Trevino,Grandview Middle School,Middle,Grandview,Social Media Marketing and Career Exploration,Mary Mendez,,Not local,Business,https://prepkc.nepris.com/app/sessions/104866
Pathful Professional No-show,1/19/2024,11:00 AM,Teacher requested,Dr. Sean Serrano MD,Grandview Middle School,Middle,Grandview,From Court to Career: A Motivational Session for Middle School Athletes,Dennis Hansen,At Will Motivation,Not local,Sports,https://prepkc.nepris.com/app/sessions/104929
successfully completed,1/19/2024,11:00 AM,Teacher requested,Tiffany Farmer,Grandview Middle School,Middle,Grandview,Careers in art inside my studio,Catherine Nelson,Be...An Artist Studios,Not local,Art/Design,https://prepkc.nepris.com/app/sessions/104903
teacher cancelation,1/19/2024,12:00 PM,Teacher requested,Elizabeth Johnson,,Middle,Grandview,"Healing Hands, Caring Hearts: Navigating Careers in Healthcare",Melissa Martinez,,,,https://prepkc.nepris.com/app/sessions/104938
successfully completed,1/19/2024,12:00 PM,Teacher requested,Thomas Sawyer,Grandview Middle School,Middle,Grandview,Charting your Playbook: Exploring Careers in Sports Management and Communications,Charles Mcclain,Players Alliance,Local (KS/MO),Sports,https://prepkc.nepris.com/app/sessions/104926
successfully completed,1/19/2024,12:00 PM,Teacher requested,Emily Morgan,Grandview Middle School,Middle,Grandview,Powering Your Future: Discovering Careers in Community Engagement,Megan Lewis,Hispanic Economic Dev Corp,Local (KS/MO),Business,https://prepkc.nepris.com/app/sessions/104939
successfully completed,1/19/2024,12:00 PM,Teacher requested,James Perez,Grandview Middle School,Middle,Grandview,"""Soaring to New Heights: A Journey in Engineering with the Chief Architect of Thrills""",Steven Ford,The Boeing Company,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104942
simulcast,1/19/2024,,,Laura Allen,Grandview Middle School,Middle,Grandview,"""Soaring to New Heights: A Journey in Engineering with the Chief Architect of Thrills""",,,Not local,,
successfully completed,1/19/2024,12:00 PM,Teacher requested,Jesus Henderson,Grandview Middle School,Middle,Grandview,Unlocking Potential: A Journey into the World of Business and Success,Kimberly Morgan,TMT Services International,Not local,Business,https://prepkc.nepris.com/app/sessions/104921
successfully completed,1/19/2024,12:00 PM,Teacher requested,Cory Thomas,Grandview Middle School,Middle,Grandview,"""Move, Inspire, Thrive: A Virtual Exploration with a Physical Therapist""",Jennifer Caldwell,RunCoach PT,Local (KS/MO),Healthcare,https://prepkc.nepris.com/app/sessions/104941
successfully completed,1/19/2024,12:00 PM,Teacher requested,Marie Hicks,Grandview Middle School,Middle,Grandview,Unlocking the Code: Navigating the Future of Gaming,Linda Reeves,International Game Dev Assn,Not local,Game Design,https://prepkc.nepris.com/app/sessions/104936
Pathful Professional No-show,1/19/2024,12:00 PM,Teacher requested,Laura Allen,Grandview Middle School,Middle,Grandview,Career Exploration - Voices of Inspiration: Unleashing Creativity in the World of Performing Arts,Anthony Sheppard,Avalon,Not local,Theater/Acting,https://prepkc.nepris.com/app/sessions/104937
successfully completed,1/19/2024,12:00 PM,Teacher requested,Jennifer Mendoza,Grandview Middle School,Middle,Grandview,"Imagining Tomorrow: Exploring Careers in Graphic Art, Animation, Illustration, and 3D & Motion Graphics",Vanessa Ward,BioDigital Media LLC,Not local,Art/Design,https://prepkc.nepris.com/app/sessions/104913
successfully completed,1/19/2024,12:00 PM,Teacher requested,Rodney Garcia,Grandview Middle School,Middle,Grandview,Building wealth: Navigating the world of business and stock markets - an adventure into financial success,Sean Vazquez,UMKC,Local (KS/MO),Business,https://prepkc.nepris.com/app/sessions/105005
inclement weather cancellation,1/22/2024,1:00 PM,Teacher requested,Joseph Moore,,Elementary,KCKPS (KS),Kindergarten: What is a Mechanical Engineer?,Kelly Miller,Burns & McDonnell,Local (KS/MO),Engineering,https://prepkc.nepris.com/app/sessions/104639
teacher cancelation,1/23/2024,8:45 AM,Teacher requested,Tammy Rodriguez,Hogan Prep,High,Hogan Prep,Student Podcast,Nathan Davidson,DCI,Not local,Business,https://prepkc.nepris.com/app/sessions/105108
successfully completed,1/23/2024,1:30 PM,Teacher requested,Michael Jackson,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What's it like to be a Doctor,Ryan Robinson,Beaumont Health,Not local,Healthcare,https://prepkc.nepris.com/app/sessions/105128
simulcast,1/23/2024,,,Michael Cook,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What's it like to be a Doctor,,,Not local,,
simulcast,1/23/2024,,,Kelly Watts,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What's it like to be a Doctor,,,Not local,,
teacher no-show,1/23/2024,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What's it like to be a Doctor,,,Not local,,
teacher no-show,1/23/2024,,,Joshua Waters,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What's it like to be a Doctor,,,Not local,,
successfully completed,1/23/2024,12:30 PM,Teacher requested,Christopher Turner,Grandview High School,High,Grandview,FAFSA 101,Shawn Jones,MO Dept of Higher Education,Local (KS/MO),College,https://prepkc.nepris.com/app/sessions/105284
teacher no-show,1/23/2024,,,Nicholas Nguyen,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Erin Johnson,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Christopher Johnson,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Kevin Sanders,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Linda Rivas,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Jamie Brewer,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
teacher no-show,1/23/2024,,,Allison Brown,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Tyler Wallace,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
teacher no-show,1/23/2024,,,James Moore,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Mrs. Angela Griffin DVM,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Kristin Lewis,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
simulcast,1/23/2024,,,Cynthia Young,Grandview High School,High,Grandview,FAFSA 101,,,Local (KS/MO),,
successfully completed,1/24/2024,10:00 AM,Teacher requested,Joseph Moore,,,KCKPS (KS),Kindergarten: What is a Mechanical Engineer?,Kelly Miller,,Local (KS/MO),Engineering,https://prepkc.nepris.com/app/sessions/104640
simulcast,1/24/2024,,,Jeffrey Phelps,Stony Point South Elementary,Elementary,KCKPS (KS),Kindergarten: What is a Mechanical Engineer?,,,Local (KS/MO),,
teacher no-show,1/24/2024,,,Gregory Garrett,Stony Point South Elementary,Elementary,KCKPS (KS),Kindergarten: What is a Mechanical Engineer?,,,Local (KS/MO),,
successfully completed,1/24/2025,1:30 PM,Teacher requested,Carlos Crane,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What is it like to be a Children's Author,Valerie Adkins,,Not local,Reading/Writing,https://prepkc.nepris.com/app/sessions/105129
teacher no-show,1/24/2025,,,Whitney Torres,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: What is it like to be a Children's Author,,,Not local,,
simulcast,1/24/2024,,,John Kennedy,Dobbs Elementary,Elementary,Hickman Mills,Ingels WOW: What is it like to be a Children's Author,,,Not local,,
successfully completed,1/25/2024,1:30 PM,Teacher requested,Kimberly Anderson,Ingels Elementary,Elementary,Hickman Mills,What it takes to be a chef,Shannon Turner,Kroger,Not local,Culinary,https://prepkc.nepris.com/app/sessions/105131
simulcast,1/25/2024,,,Brandy Nolan,Ingels Elementary,Elementary,Hickman Mills,What it takes to be a chef,,,Not local,,
successfully completed,1/25/2024,10:00 AM,Teacher requested,Haley Michael,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Mindfulness in the classroom,Justin Rivas,Lahai Health,Not local,Social/Emotional Learning,https://prepkc.nepris.com/app/sessions/105130
successfully completed,1/25/2024,1:00 PM,Industry chat,Debra Williams,,,,Financial Literacy: Needs vs. Wants,John Peterson,,Not local,Business,https://prepkc.nepris.com/app/industry-chats/105006
teacher no-show,1/25/2024,,,Nicholas Kelly,Ruskin High School,High,Hickman Mills,Financial Literacy: Needs vs. Wants,,,Not local,,
teacher no-show,1/25/2024,,,Jocelyn Richardson,Ruskin High School,High,Hickman Mills,Financial Literacy: Needs vs. Wants,,,Not local,,
simulcast,1/25/2024,,,Natasha Rangel,Ruskin High School,High,Hickman Mills,Financial Literacy: Needs vs. Wants,,,Not local,,
teacher no-show,1/25/2024,,,Jonathan Hughes,Arrowhead Middle,Middle,KCKPS (KS),Financial Literacy: Needs vs. Wants,,,Not local,,
successfully completed,1/26/2024,12:15 PM,Teacher requested,Daniel Taylor,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Cosmetology Black/African American Professional Requested,Sandra Choi,,Not local,Cosmetology,https://prepkc.nepris.com/app/sessions/105132
simulcast,1/26/2024,,,Anthony Lambert,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Cosmetology Black/African American Professional Requested,,,Not local,,
simulcast,1/26/2024,,,Whitney Flores,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Cosmetology Black/African American Professional Requested,,,Not local,,
successfully completed,1/26/2024,1:30 PM,Teacher requested,Mark Jones,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Customer Service/ Receptionist,Ruth Wilson,Primerica Financial Services,Local (KS/MO),Business,https://prepkc.nepris.com/app/sessions/105133
simulcast,1/26/2024,,,Michael Mcguire,Ingels Elementary,Elementary,Hickman Mills,Ingels WOW: Customer Service/ Receptionist,,,Local (KS/MO),,
Local Professional Cancellation,1/26/2024,1:00 PM,Kansas City Series,Debra Williams,,Elementary,,Careers in Culinary Arts,Melissa Wright,Silverado,Local (KS/MO),Culinary,https://prepkc.nepris.com/app/sessions/104461
successfully completed,1/29/2024,11:45 AM,Teacher requested,April Johnson,Frances Willard Elementary,Elementary,KCKPS (KS),Geology,Ricky Dominguez,KS Geological Survey,Local (KS/MO),Earth Science/Geology,https://prepkc.nepris.com/app/sessions/105349
simulcast,1/29/2024,,,Lisa Heath,Frances Willard Elementary,Elementary,KCKPS (KS),Geology,,,Local (KS/MO),,
simulcast,1/29/2024,,,Kathleen Romero,Frances Willard Elementary,Elementary,KCKPS (KS),Geology,,,Local (KS/MO),,
successfully completed,1/29/2024,11:10 AM,Teacher requested,Jeffrey Baker,Guadalupe High School,High,Guadalupe Centers,A Career as an Entrepreneur,Thomas James,TLA Solutions,Local (KS/MO),Business,https://prepkc.nepris.com/app/sessions/105416
successfully completed,1/30/2024,12:00 PM,Industry chat,Debra Williams,,,,Draw a Dinosaur!,Mary Howard,,Not local,Art/Design,https://prepkc.nepris.com/app/sessions/105004
simulcast,1/30/2024,,,Dalton Lee,Eugene Ware Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Joseph Salazar,Eugene Ware Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Heather Holmes,Stony Point South Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Mr. Ryan Fernandez DVM,McKinley Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kenneth Cobb,Silver City Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,April Schaefer,McKinley Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Gregory Lamb,Compass Elementary,Elementary,Hickman Mills,Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,April Clarke,New Chelsea Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Christopher Allen,Ruskin High School,High,Hickman Mills,Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Christopher Robinson,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Brittany Brooks,Lindbergh Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Jeffrey Richard,Lindbergh Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Christopher Garcia,Emerson Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Regina Pena,West Park,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,William Foster,Silver City Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Pamela Kennedy,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kristin Jones,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kayla Reyes,Stony Point South Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Nancy Carroll,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kenneth Marshall,Mark Twain Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Phillip Shepherd,Silver City Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Madeline Austin,Silver City Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Christopher Garcia,Emerson Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Ronald Mccall,Welborn Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Sherry Watts,Whittier Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Dana Garcia,Welborn Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,James Cherry,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kimberly Rodriguez,McKinley Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Evan Palmer,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Gregory Garrett,Stony Point South Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Nicole Flores,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Ian Lewis,John Fiske Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Dawn Stephens,Noble Prentis Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Michael Anderson,Welborn Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Stephanie Matthews,Compass Elementary,Elementary,Hickman Mills,Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Donald Smith,Compass Elementary,Elementary,Hickman Mills,Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Kim Thompson,Frances Willard Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Julie Vasquez,West Park,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Heather Banks,Welborn Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
simulcast,1/30/2024,,,Jessica Gutierrez,New Chelsea Elementary,Elementary,KCKPS (KS),Draw a Dinosaur!,,,Not local,,
successfully completed,1/31/2024,1:00 PM,Industry chat,Debra Williams,,,,Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,Kari Hurley,Wayside Waifs,Local (KS/MO),Animal Science,https://prepkc.nepris.com/app/industry-chats/104768
teacher no-show,1/31/2024,,,Michael Moore,Warford Elementary,Elementary,Hickman Mills,Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
simulcast,1/31/2024,,,Christopher Ware,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
simulcast,1/31/2024,,,Richard Taylor,Noble Prentis Elementary,Elementary,KCKPS (KS),Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
simulcast,1/31/2024,,,Sara Andrade,Noble Prentis Elementary,Elementary,KCKPS (KS),Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
simulcast,1/31/2024,,,Michael Young,ME Pearson Elementary,Elementary,KCKPS (KS),Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
teacher no-show,1/31/2024,,,Kimberly Johnson,Compass Elementary,Elementary,Hickman Mills,Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
simulcast,1/31/2024,,,Nancy Carroll,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Tour an Animal Shelter: Wayside Waifs Helping Pets Find Families,,,Local (KS/MO),,
